frame,motion_idx,motion_frame,server_motion_idx,server_frame_idx,sync_status,body_pos_max_diff,body_pos_mean_diff,dof_max_diff,dof_mean_diff
395,26,67,26,36,SYNC,0.000000,0.000000,0.772139,0.188231
396,26,67,26,36,SYNC,0.000000,0.000000,0.770763,0.185826
397,26,68,26,36,SYNC,0.000000,0.000000,0.760313,0.189151
398,26,68,26,36,SYNC,0.000000,0.000000,0.742274,0.192265
399,26,69,26,36,SYNC,0.000000,0.000000,0.714251,0.193614
400,26,70,26,36,SYNC,0.000000,0.000000,0.694325,0.193777
401,26,70,26,36,SYNC,0.000000,0.000000,0.666786,0.190829
402,26,71,26,36,SYNC,0.000000,0.000000,0.634335,0.188375
403,26,71,26,36,SYNC,0.000000,0.000000,0.706979,0.185570
404,26,72,26,36,SYNC,0.000000,0.000000,0.755331,0.183000
405,26,73,26,36,SYNC,0.000000,0.000000,0.790104,0.179825
406,26,73,26,36,SYNC,0.000000,0.000000,0.791530,0.175400
407,26,74,26,36,SYNC,0.000000,0.000000,0.769714,0.169827
408,26,74,26,36,SYNC,0.000000,0.000000,0.728462,0.163152
409,26,75,26,36,SYNC,0.000000,0.000000,0.652084,0.156254
410,26,76,26,36,SYNC,0.000000,0.000000,0.663861,0.152895
